control_id,name,description,category,soc2_criteria,example_evidence
"DCF-14","Organizational Chart","An organizational chart is in place to describe the organizational structure and reporting lines. The chart is available to all employees (e.g., through the company's HRMS, intranets, etc.) and is updated upon changes to the organizational structure.","Governance","CC1.3, CC1.5, CC2.2","Upload your current organizational chart (e.g., screenshot or export from HRMS showing personnel, their job title, department, reporting lines, etc)."
"DCF-15","Risk Assessment Policy","Satoshi Energy Corp has defined and documented a process for risk assessment and risk management that outlines the organization's approach for identifying risks and assigning risk owners, the risk acceptance criteria, and the approach for evaluating and treating risks based on the defined criteria.","Risk Management","CC3.1, CC3.2, CC3.3, CC3.4, CC4.2, CC5.3","Upload your documented risk assessment and risk management policy."
"DCF-16","Periodic Risk Assessment","Satoshi Energy Corp conducts risks assessments periodically as required by company policy and compliance requirements. The risk assessment includes consideration of threats and vulnerabilities and an evaluation of the likelihood and impact for each risk.","Risk Management","A1.2, CC3.1, CC3.2, CC3.3, CC3.4, CC4.2, CC5.1, CC5.2","Upload documentation of the most recent risk assessment activities performed (e.g., risk register, risk treatment plan) in accordance with company policies and compliance requirements."
"DCF-17","Risk Treatment Plan","Satoshi Energy Corp's management has documented a risk treatment plan to formally manage risks identified in risk assessment activities.","Risk Management","CC3.1, CC3.2, CC3.3, CC3.4, CC4.2, CC5.1, CC5.2","Upload your documented risk treatment plan with identified risks and mitigation strategies."
"DCF-18","Vulnerability Scans","Satoshi Energy Corp conducts vulnerability scans of the production environment as dictated by company policy and compliance requirements. Results are reviewed by company personnel and vulnerabilities are tracked to resolution in accordance with company policies.","Security Testing","CC3.2, CC4.1, CC5.2, CC7.1","Upload evidence of vulnerability scanning activities. Example: Vulnerability scan reports showing scope and results, evidence of internal tracking and remediation of findings."
"DCF-19","Penetration Tests","An external penetration test of production environments is performed by an independent third party periodically or after any significant infrastructure or application changes. Results are reviewed by management and vulnerabilities are tracked to resolution in accordance with company policies.","Security Testing","CC4.1, CC5.2, CC7.1","Upload evidence of the most recent penetration testing activities. Example: Report(s) of the most recent penetration test(s) performed by a third-party or internal resource showing scope and results, evidence of the internal tracking and remediation of findings (internal tickets, change documentation)."
"DCF-20","Asset Inventory","A centralized asset register is maintained for physical, cloud, and other assets that includes descriptive attributes for asset accountability such as owner, description, location, classification, and/or other information based on the type of asset.","Asset Management","CC2.1, CC6.1","Upload evidence of: 1. Formal, documented listing of all assets (workstations, mobile devices, servers, databases, etc.). 2. For cloud infrastructure, screenshots from cloud environments listing all infrastructure."
"DCF-21","Architectural Diagram","A documented architectural diagram is in place to document system boundaries and support the functioning of internal control. The diagram is reviewed and approved by management at least annually and updated as necessary when there are changes to the environment.","Documentation","CC2.1","Upload evidence of your current architecture diagram(s) and evidence of updates/reviews within the past year for accuracy (e.g., emails from responsible personnel confirming the accuracy and completeness of the architecture diagram(s), etc.)."
"DCF-22","Network Diagram","A documented network diagram is in place to document system boundaries and connections to external networks. The diagram is reviewed and approved by management at least annually and updated as necessary when there are changes to the environment.","Documentation","CC2.1","Upload evidence of your current network diagram(s) and evidence of updates/reviews within the past year for accuracy."
"DCF-25","Disaster Recovery Plan","Satoshi Energy Corp has a documented disaster recovery plan that outlines roles, responsibilities and detailed procedures for recovery of systems in the event of a disaster scenario.","Business Continuity","A1.2, A1.3, CC5.3, CC9.1","Upload your documented disaster recovery plan that outlines roles, responsibilities and detailed procedures for recovery of systems in the event of a disaster scenario."
"DCF-26","BCP/DR Tests","Satoshi Energy Corp conducts tests of the business continuity/disaster recovery plans at least annually. Results and lessons learned are documented, and updates to the plans are made as necessary.","Business Continuity","A1.2, A1.3","Upload evidence of your most recent business continuity and/or disaster recovery test. Example: Documentation of the activities performed, results, and lessons learned, calendar invites showing participants and dates."
"DCF-27","Cloud Resources Availability","Business-critical cloud resources are deployed in accordance with high availability architecture principles (e.g., replicated across multiple availability zones or regions, configured for high-availability, etc.).","Infrastructure","A1.2, CC9.1","Upload evidence showing business-critical cloud resources are deployed in accordance with high availability architecture principles."
"DCF-28","Security Events Tracked and Evaluated","Satoshi Energy Corp evaluates security events to determine if they constitute an incident. Incidents are assigned a priority, categorized, documented, tracked, escalated, contained, eradicated, communicated, and resolved in accordance with company policies and procedures.","Incident Management","CC7.3, CC7.4, CC7.5","For an example security event deemed an incident, upload the incident documentation including evidence of internal tracking (e.g., internal ticket), root-cause analysis (RCA)/post-mortem, lessons learned."
"DCF-29","Incident Response Team","Satoshi Energy Corp has identified and documented roles and responsibilities for incident management (e.g., roles and responsibilities for invoking the incident management process, incident leads, incident handlers, communication coordinators, technical advisors, legal advisors, etc.).","Incident Management","CC7.3, CC7.4, CC7.5","Upload evidence of your documented roles and responsibilities for incident response. Example: Documentation of your internal incident response processes and procedures outlining the roles and responsibilities for incident management such as: Incident managers, Incident handlers, Communication coordinators, Advisors."
"DCF-30","Incident Response Lessons Learned Documented","Satoshi Energy Corp documents a post-mortem review for identified incidents that includes incident metadata, root-cause analysis, documentation of evidence, summary of containment, eradication, and recovery actions, timelines, incident metrics, evidence of internal and external communications, estimation of impact and scope, and lessons learned, as applicable, in accordance with company policies and procedures.","Incident Management","CC7.3, CC7.4, CC7.5","Upload documentation showing post-incident reviews are conducted with lessons learned documented and changes implemented."
"DCF-31","Software Development Policies","Satoshi Energy Corp has developed policies and procedures governing the system development life cycle, including requirements, design, implementation, testing, and deployment.","Software Development","CC8.1","Upload your documented software development life cycle policies and procedures."
"DCF-32","Security Policies","Company policies are accessible to all employees and, as applicable, third parties such as contractors. Personnel are required to acknowledge the information security policy and other topic-specific policies based on their job duties during onboarding and annually thereafter.","Policies","CC1.1, CC2.1, CC2.2, CC5.2, CC5.3","Upload evidence that company policies are accessible to all employees and that personnel acknowledge policies during onboarding and annually."
"DCF-33","Periodic Policy Reviews","Management reviews and approves company policies at least annually. Updates to the policies are made as deemed necessary (e.g., based on changes to business objectives, legal or regulatory requirements, organizational risks, etc.).","Policies","CC2.1, CC2.2, CC5.3","Upload evidence of management's review and approval of policies at least annually with documentation of any updates made."
"DCF-36","Periodic Security Training","Satoshi Energy Corp has established training programs to help personnel gain awareness of information security best practices. Personnel (including employees and contractors as applicable) are required to complete the training during onboarding. Periodic refresher training is provided to personnel at least annually and as deemed necessary.","Training","CC1.4, CC2.2, CC5.2","Upload evidence showing that a training program related to information security has been implemented (e.g., records of training materials, screenshots of training content, records of completion for personnel)."
"DCF-37","Acceptable Use Policy","Satoshi Energy Corp has a documented acceptable use policy that outlines requirements for personnel's usage of company assets.","Policies","CC5.3","Upload your documented acceptable use policy."
"DCF-38","Performance Evaluations","Management conducts periodic evaluations of performance against established goals and objectives for eligible personnel in accordance with company policies and procedures.","Human Resources","CC1.1, CC1.4, CC1.5","Upload an example of a completed performance evaluation for a member of personnel performed within the past year showing components of the evaluation process (e.g., self-reviews, peer-reviews, manager-reviews, etc.). Consider redacting information that may be considered sensitive."
"DCF-39","Background Checks","Background checks are conducted on eligible personnel (employees and third parties as deemed necessary by the organization) prior to hire as permitted by local laws.","Human Resources","CC1.1","Upload evidence of background checks conducted on personnel prior to hire."
"DCF-41","Independent Board of Directors","The board of directors includes members independent from management who are not involved in control operations.","Governance","CC1.2","Upload your board charter showing independent members."
"DCF-42","Defined Roles and Responsibilities","Management has defined and documented roles and responsibilities for implementation and oversight of the risk management and compliance programs (e.g., security, privacy, AI, etc.).","Governance","CC1.2, CC1.3","Upload documentation showing defined roles and responsibilities for risk management and compliance programs."
"DCF-44","Code of Conduct","Satoshi Energy Corp maintains a documented code of conduct. Eligible personnel are required to acknowledge Satoshi Energy Corp's code of conduct during onboarding and annually thereafter.","Policies","CC1.1, CC1.4, CC1.5, CC2.2, CC5.3","Upload your documented code of conduct and evidence of personnel acknowledgment during onboarding and annually."
"DCF-45","Data Protection Policy","Satoshi Energy Corp has a documented a policy that outlines the procedures and technical measures to be implemented at the organization to protect the confidentiality, integrity, and availability of data.","Data Protection","C1.1, CC6.7, P4.2","Upload your documented data protection policy."
"DCF-46","Formal Screening Process","Management evaluates candidates for employment through a formal screening process. The process may include verification of academic and professional qualifications, identity verifications, validation of personal or professional references, technical interviews, or other steps as deemed applicable by the organization.","Human Resources","CC1.4","Upload evidence of the formal interview/recruitment process for a recently hired personnel. Example: Calendar invites for interviews, documented feedback notes from interviewers, evidence of evaluation of resume and professional credentials."
"DCF-47","Job Descriptions","Satoshi Energy Corp has documented job descriptions for each position at the company, which include roles and responsibilities as well as required qualifications, skills, and experience for the role.","Human Resources","CC1.4, CC2.2","Upload documented job descriptions for personnel showing roles and responsibilities as well as required qualifications, skills, and experience. Auditors will generally look for examples of job descriptions for personnel in information security roles or that may impact the confidentiality, integrity, or availability of data."
"DCF-48","Screen Lockout","Company-managed devices are configured to enforce a screensaver lock with after a defined period of inactivity in accordance with company policies and compliance requirements.","Device Security","CC6.6","Upload evidence of screen lockout configurations on company-managed devices."
"DCF-49","Password Manager","A password manager is installed on all company-managed devices.","Device Security","CC6.1","Upload evidence showing password managers are deployed on company-managed devices."
"DCF-50","Antimalware Software on Devices","Anti-malware software is installed on all company-managed devices.","Device Security","CC6.8, CC7.1","Upload evidence showing anti-malware software is installed and configured on company-managed devices."
"DCF-51","Automated Updates on Devices","Automated operating system (OS) updates are enabled on company-managed devices to install security patches.","Device Security","CC6.7, CC7.1","Upload evidence showing automated OS updates are configured on company-managed devices."
"DCF-52","Hard-Disk Encryption","Hard-disk encryption is enabled on all company-managed devices.","Device Security","CC6.1, CC6.7","Upload evidence showing hard-disk encryption is enabled on company-managed devices."
"DCF-54","Encryption at Rest","Data at rest is encrypted using strong cryptographic algorithms.","Encryption","C1.1, CC6.1, CC6.6, P4.2, PI1.4, PI1.5","Upload evidence showing that data at rest is encrypted using strong cryptographic algorithms."
"DCF-55","Encryption in Transit","Data in transit is encrypted using strong cryptographic algorithms.","Encryption","C1.1, CC6.1, CC6.6, CC6.7, P4.2","Upload evidence showing that data in transit is encrypted using strong cryptographic algorithms (e.g., TLS/SSL)."
"DCF-56","Vendor Register and Agreements","Satoshi Energy Corp maintains a vendor/third party register that includes a complete and accurate list of vendors/third parties, relationship owners, description for each of the services provided, risk ratings, results of vendor/third party risk management activities, etc. Satoshi Energy Corp executes agreements with vendors and service providers involved in accessing, processing, storing or managing information assets that outline the responsibilities of each vendor or service provider.","Vendor Management","CC3.2, CC9.2","Provide evidence of: 1. A centralized, up-to-date inventory listing all your vendors/third parties including vendor name, relationship owner, services description, and risk rating. 2. Upon request, provide evidence of an example executed agreement/contract with a vendor involved in accessing, processing, storing, or managing your information assets."
"DCF-57","Vendor Compliance Monitoring","Satoshi Energy Corp obtains and reviews compliance reports or other evidence for critical vendors and service providers at least annually to monitor the third parties' compliance with industry frameworks, regulations, standards (e.g., SOC 2, ISO, PCI DSS, etc.) and Satoshi Energy Corp's requirements.","Vendor Management","CC3.2, CC9.2, P6.4, P6.5","Provide documentation showing that your organization obtains and reviews compliance reports or other evidence for critical vendors at least annually. Documentation can include: SOC 2 Type 2 Reports, Completed security questionnaire, ISO 27001 certificate."
"DCF-59","Privileged Access Restricted","Administrative or privileged access to systems, resources, and functions is restricted to authorized personnel.","Access Control","C1.1, CC5.2, CC6.1, P4.2, PI1.4, PI1.5","Upload screenshots or exports of user lists showing the users with administrative or privileged access to systems (e.g., super users, administrators, power users) for relevant systems such as cloud infrastructure, code repositories, identity provider, password vault systems, VPN clients."
"DCF-60","Secure Password Storage","Satoshi Energy Corp has implemented technical measures to protect stored user passwords for the system (e.g., encryption, hashing, salting, etc.).","Access Control","CC6.1","Upload evidence showing that stored secrets (e.g., user passwords, API keys) are managed securely. Examples: Screenshots showing that secrets are not stored in plain text, using encryption, hashing, or salting, using a secrets manager solution."
"DCF-61","Customer Data Segregation","Satoshi Energy Corp has implemented segregation mechanisms so that customers cannot impact or access data or resources of other customers.","Data Segregation","C1.1, CC6.1, P4.2","Upload evidence showing customer data is segregated. Example: Screenshots from the database showing unique identifiers for customers, screenshots showing separate databases/storage buckets for individual customers."
"DCF-62","Session Termination","Satoshi Energy Corp's systems automatically terminate a user's logical session based on predefined conditions (e.g., predefined periods of inactivity, closure of the system or internet browser, etc.).","Access Control","CC6.6","Upload evidence of automated logoff for relevant systems/applications showing users are logged out after inactivity or browser closure."
"DCF-63","Terms of Service","Satoshi Energy Corp maintains a publicly available terms of service for use of the system. All users must agree to the terms of service prior to using the system.","Agreements","CC2.3","Upload evidence of your terms of service available online, as well as screenshots of the account sign up process showing users are required to accept the terms of service prior to using the system."
"DCF-64","Commitments Communicated to Customers","Satoshi Energy Corp communicates service commitments and system requirements to customers and other external parties, as appropriate, through contracts, agreements, company website, etc. Satoshi Energy Corp provides notification to relevant parties of any changes to service commitments and system requirements.","Communication","CC2.3, CC3.1","Upload evidence of service commitments communicated to customers."
"DCF-65","Public Privacy Policy","Satoshi Energy Corp maintains a publicly available privacy policy/notice.","Privacy","CC2.3, P1.1","Add a link to your publicly available privacy policy/notice. The privacy policy should contain information including purpose for collecting, lawful basis, types of personal information, choice and consent, methods of collection, use, retention, data subject rights, use of subprocessors, technical measures, and monitoring and enforcement."
"DCF-66","Master Service Agreements","Master service agreements outlining specific requirements are executed with enterprise customers or when the standard terms of service may not apply.","Agreements","CC2.3","Upload evidence of a recently executed service agreement with a customer showing specific terms."
"DCF-67","Multi-Factor Authentication","Authentication to systems requires the use of multi-factor authentication.","Authentication","C1.1, CC6.1, CC6.6, P4.2","Upload screenshots of the multi-factor authentication configurations for relevant systems. If MFA is enforced on a per-user level, upload evidence showing all users have MFA enabled."
"DCF-68","Password Policy and Configuration","Satoshi Energy Corp has a documented policy outlining the minimum requirements for passwords used for authentication to organizational systems. Password requirements are enforced for all systems in accordance with company policy.","Authentication","C1.1, CC6.1, CC6.6, P4.2","Upload evidence of the password requirements enforced for relevant systems. Example: Screenshot showing minimum password requirements for relevant systems showing complexity and minimum length requirements."
"DCF-69","Access Provisioning","Access requests to information resources, including physical access and access to systems and data, are documented and approved by management based on least privilege, need to know, and segregation of duties principles.","Access Control","CC5.1, CC5.2, CC6.1, CC6.2, CC6.3","Upload an example record of access request and approval for a user to be granted permission to a system. Example: Access request ticket with documented approval from system owner or manager."
"DCF-70","Access Deprovisioning","System and physical access is revoked within one business day of effective termination date for terminated users (including employees, third parties and vendors, and other personnel).","Access Control","CC6.1, CC6.2, CC6.3","Upload evidence showing the offboarding activities for one recently terminated personnel (e.g., offboarding checklist, IT or help desk ticket) showing that system and physical access was revoked within the timelines set forth in company policy."
"DCF-71","Unique User IDs","Authentication to systems requires the use of unique identities.","Authentication","CC6.1","Upload evidence showing unique user IDs are enforced for system authentication."
"DCF-72","Root Access Control","Root password authentication to production resources (e.g., virtual machines, containers, etc.) is disabled and only allowed for under exceptional circumstances for a limited time duration based on documented business justification and approval from management.","Access Control","CC6.1","Upload evidence showing that root password authentication to production resources is disabled. Example: Screenshots of infrastructure as code configurations showing that password login has been disabled for root."
"DCF-73","Access to Remote Server Administration Ports Restricted","Network security controls are in place to restrict public access to remote server administration ports (e.g., SSH, RDP) to authorized IP addresses or address ranges only.","Network Security","CC6.6","Upload evidence of network security configurations restricting access to remote server administration ports."
"DCF-74","Communication of System Changes","Satoshi Energy Corp communicates system changes via release notes or change log in the company's website or via periodic communications.","Communication","CC2.3","Upload examples of communication of system changes to customers (e.g., release notes, change log, communications sent out to customers via email)."
"DCF-75","Restricted Public Access","Cloud resources are configured to deny public access.","Network Security","CC6.1, CC6.6","Upload evidence showing cloud resources are configured to deny public access."
"DCF-76","Critical Change Management","Emergency changes or hot fixes implemented outside of the standard change management process are reviewed and approved by an authorized individual after implementation.","Change Management","CC8.1","For a hot fix or emergency change, upload evidence showing that the change followed the standard change management process or was reviewed and approved by an authorized individual after implementation. Example: Screenshots or exports of pull requests/merge requests showing change control, documentation such as emails showing post-implementation review and approval."
"DCF-77","Data Backups","Backups of production data are performed at least daily and are configured to be retained in accordance with the retention periods established in company policies and procedures.","Data Protection","A1.2","Upload evidence showing back-up and retention configurations for production databases (e.g., screenshots showing backup frequency and window, retention period)."
"DCF-78","Storage Bucket Versioning","Storage buckets that contain sensitive data have versioning enabled to preserve, retrieve, and restore versions of objects.","Data Protection","CC7.1","Upload evidence showing storage bucket versioning is enabled for sensitive data."
"DCF-79","Logging System","Satoshi Energy Corp uses a centralized system that collects and stores logs of system activity and sends alerts to personnel based on pre-configured rules. Access to logs is restricted to authorized personnel.","Monitoring","CC7.2, PI1.3","Upload screenshots from the location where logs of system activity are stored."
"DCF-85","Network Security Controls","Network security controls are in place to limit inbound and outbound traffic to the environment to only what is necessary based on business justification. All other traffic is specifically denied.","Network Security","CC6.1, CC6.6","Upload evidence of network security configurations. Example: Screenshot of firewall rules, security groups (inbound/outbound rules) showing network security configurations."
"DCF-86","System Monitoring","Production systems and resources are monitored and automated alerts are sent out personnel based on pre-configured rules. Events are triaged to determine if they constitute an incident and escalated per policy if necessary.","Monitoring","A1.1, CC4.1, CC7.1, CC7.2","Upload evidence of system monitoring and alert configurations."
"DCF-87","Threat Detection System","A threat detection system is in place to monitor web traffic and suspicious activity. When anomalous traffic activity is identified, alerts are automatically sent to personnel, investigated, and escalated through the incident management process, if necessary.","Security Monitoring","CC6.6, CC6.8, CC7.1, CC7.2","Upload evidence of threat detection system configurations and monitoring capabilities."
"DCF-88","Web Application Firewall","A web application firewall is in place to protect public-facing web applications from outside threats.","Network Security","CC6.6, CC7.2","Upload evidence of web application firewall (WAF) configurations (e.g., screenshots showing active WAF rulesets)."
"DCF-90","Root Infrastructure Account Monitored","Access to the root account in the cloud infrastructure provider is monitored. Login activity for the root account is investigated and validated for appropriateness.","Access Control","CC6.1, CC7.2","Upload evidence showing root account access is monitored and login activity is investigated."
"DCF-91","Intrusion Detection/Prevention System","An intrusion detection system (IDS)/intrusion prevention system (IPS) or equivalent is in place to detect real-time suspicious or anomalous network traffic that may be indicative of threat actor activity and is configured to alert personnel when a potential intrusion is detected.","Network Security","CC6.6, CC7.1, CC7.2","Upload evidence showing: 1. Screenshots from AWS GuardDuty, Azure Sentinel, GCP Security Command Center or equivalent monitoring tool. 2. Screenshots showing the types of threats that would be detected. 3. Screenshots showing how personnel would be alerted when threats are detected."
"DCF-92","Encrypted Remote Production Access","Remote access to production systems is only available through an encrypted connection (e.g., encrypted virtual private network, SSH, etc.)","Network Security","C1.1, CC6.1, CC6.6, P4.2","Upload evidence that remote access to production resources is only available through an encrypted connection. Example: Screenshot showing access to production servers is not available without encrypted VPN."
"DCF-94","Physical Security Policy","Satoshi Energy Corp has a documented policy that outlines requirements for physical security.","Physical Security","CC6.4","Upload your documented physical security policy."
"DCF-95","Monitoring Processing Capacity and Usage","Satoshi Energy Corp monitors processing capacity and use of resources continuously to manage demand and to enable the implementation of additional resources as necessary.","Monitoring","A1.1","Upload evidence of processing capacity monitoring (e.g., screenshots from observability tools showing dashboards for utilization metrics, screenshot of alert configurations)."
"DCF-96","Load Balancer","Satoshi Energy Corp uses a load balancer to automatically distribute incoming traffic across multiple targets.","Infrastructure","A1.1","Upload evidence showing a load balancer is configured to distribute traffic across multiple targets."
"DCF-97","Autoscaling","Satoshi Energy Corp has enabled auto-scaling configurations to provision new cloud resources when predefined capacity thresholds are met.","Infrastructure","A1.1","Upload screenshot of auto scaling configurations for cloud resources."
"DCF-99","Backup Monitoring","Automated notifications are sent to personnel in the event of a backup failure. Backup failures are investigated and resolved by engineering personnel following company policies and procedures.","Data Protection","A1.2","Upload evidence of: 1. Automated configurations from the backup service for notifying personnel when backup processes fail. 2. Example email for a failed backup and ticket documenting resolution."
"DCF-100","Backup Restore Testing","Satoshi Energy Corp tests the integrity and recoverability of backed-up data at least annually.","Data Protection","A1.3","Upload evidence of your most recent test restore of backed-up data completed within the past year. Example: Documentation of the backup restoration process showing steps taken and associated evidence, results, and date completed."
"DCF-101","Data Retention Policy","Satoshi Energy Corp has a documented and implemented a policy for data retention defining the types of data (including company and customer data) and the period of time for which they should be retained.","Data Management","C1.1, P4.2","Upload your documented data retention policy."
"DCF-102","Data Classification Policy","Satoshi Energy Corp has established a data classification policy in order to identify the types of information stored or processed by the organization and the protection measures that are required for each.","Data Management","C1.1, CC2.1, P4.2, PI1.1","Upload your documented data classification policy."
"DCF-103","Customer Data Deletion Upon Termination","Satoshi Energy Corp disposes of customer data upon termination of services in accordance with contractual agreements.","Data Management","C1.2, P4.3","For a recently churned customer, upload evidence showing that customer data disposal was conducted. Example: Screenshots of logs showing data was disposed of, screenshots from production resources showing customer-specific resources were decommissioned."
"DCF-104","Test Data","Test data is used in testing and development environments to prevent sensitive information from being copied to non-production environments.","Data Management","C1.1, CC8.1, P4.2","Upload evidence showing that production data is not used in testing environments. Example: Screenshots from testing databases showing mock data is used, data anonymization or mock data generation scripts."
"DCF-105","Personnel Non-Disclosure Agreements (NDA)","Personnel, including employees and contractors, are required to sign an agreement that outlines confidentiality requirements (e.g., non-disclosure agreements) prior to hire.","Agreements","C1.1, CC1.1, CC2.3","Upload an example executed agreement addressing confidentiality with a recently hired employee (e.g., NDA, PIIA, employment agreement including confidentiality clauses)."
"DCF-107","Disposal of Sensitive Data on Paper","When Satoshi Energy Corp disposes of hard copy materials, it does so through secure means such as cross-cut shredding, incinerating, or pulping, so that sensitive data cannot be reconstructed.","Data Management","C1.2, CC6.5","Upload evidence of: 1. Observation of hard copy material being disposed (can be performed by auditors on-site or via virtual meeting)."
"DCF-108","Secure Storage Mechanisms","Satoshi Energy Corp uses secure storage mechanisms for digital media and hardcopy materials that contain sensitive data (e.g., locked codes, combination locks to offices, rooms and facilities such as key cabinets, etc.) as well as critical equipment and other assets. Access to the secured storage mechanisms (including access to physical keys and knowledge of authentication information) is restricted to authorized personnel.","Physical Security","CC6.4","Upload pictures of secure storage bins from office locations."
"DCF-109","Disposal of Sensitive Data on Hardware","Satoshi Energy Corp disposes of data on hardware through secure means, such as wiping and hard drive destruction, in accordance with documented policies and procedures.","Data Management","C1.2, CC6.5","Upload evidence of one instance of data disposal on hardware showing that data was disposed securely. Examples: Certificate of destruction of hardware, screenshots showing hard drive data on an endpoint were wiped prior to reuse."
"DCF-110","Acceptable Input Ranges","Satoshi Energy Corp's has implemented automated edit checks in the system to limit input to defined value ranges and formats.","Application Controls","P7.1, PI1.2","Upload screenshots of users entering data into the application confirming that the application limits input values to only valid values."
"DCF-111","Mandatory Fields","Automated application checks are in place that require mandatory fields to be complete before data entry is accepted.","Application Controls","P7.1, PI1.2","Upload screenshots of user entering data into the application confirming that the application requires mandatory data to be entered."
"DCF-112","Notice and Acknowledgement of Privacy Practices","Satoshi Energy Corp provides notice of its privacy practices to users prior to accessing the system. Users are required to explicitly acknowledge the privacy policy prior to entering information into the system.","Privacy","P1.1, P2.1, P3.2","Upload screenshots of the account sign up process showing users are required to accept the privacy policy prior to using the system."
"DCF-115","Privacy Policy Content","Satoshi Energy Corp's documented Privacy Policy includes information on purpose for collecting/processing personal information, lawful basis, types of personal information collected, choice and consent, methods of collection, use, retention, and disposal, data subject rights, use of subprocessors, technical and organizational measures, quality, and monitoring and enforcement.","Privacy","P1.1, P3.2, P4.1","Upload your documented privacy policy that includes all required components or link to your publicly available privacy policy/notice."
"DCF-120","Periodic Review of Privacy Policy","Satoshi Energy Corp's management reviews the online privacy policy and/or notice at least annually to validate its continued suitability and accuracy. The online privacy policy/notice includes the date it was last updated. Satoshi Energy Corp notifies customers of changes to the privacy notice and the nature of the changes, including when personal information will be used for new purposes not previously identified.","Privacy","P1.1, P2.1, P3.1","Upload evidence of the most review of the online privacy policy/notice to show the policy has been reviewed within the past year. Example: Records of emails, meeting minutes, draft versions showing reviews and updates to the policy. For any recent changes, upload evidence showing customers were notified."
"DCF-122","Requests for Deletion of PII","Satoshi Energy Corp complies with legitimate requests to delete PII from data subjects by permanently and completely erasing the personal information from its existing systems or de-identifying the personal information within the timelines established by regulatory requirements.","Privacy","P4.3","For an example personal information deletion request from a data subject, upload evidence showing that the request was fulfilled within regulatory timelines and confirmation was provided to the data subject."
"DCF-123","Procedures for Information Disposal","Satoshi Energy Corp has documented policies and procedures for erasure or destruction of information that has been identified for disposal.","Privacy","C1.2, CC6.5, P4.3","Upload your documented procedures for erasure or destruction of information that has been identified for disposal."
"DCF-126","Personal Information Accessible Through System Authentication","Satoshi Energy Corp provides a mechanism for users to view, correct, and/or delete their personal information by authenticating into the system with a username and password and navigating to their profile settings.","Privacy","P4.3, P5.1, P5.2, P7.1","Upload evidence showing that system users can view, correct, and/or delete their personal information. Example: Screenshots from the system interface showing that users have the ability to view and edit their personal information from their account profile."
